Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Country
D2,10/08/02,Duisburg,Greuther Furth,1,0,H,0,0,D,2.1,3.2,3.0,2.1,3.25,2.95,2.0,3.1,3.2,2.2,3.1,2.875,2.05,3.05,3.1,1.65,1.95,DE
D2,10/08/02,Ein Trier,Burghausen,2,1,H,1,1,D,2.0,3.2,3.2,1.96,3.2,3.3,1.9,3.1,3.5,1.909,3.25,3.4,2.1,3.1,2.95,1.65,1.95,DE
D2,10/08/02,Union Berlin,Mainz,0,2,A,0,1,A,1.909,3.25,3.4,1.98,3.2,3.34,1.9,3.1,3.5,2.0,3.1,3.3,2.0,3.15,3.15,1.65,1.95,DE
D2,11/08/02,Aachen,Freiburg,0,1,A,0,0,D,2.625,3.2,2.3,2.6,3.2,2.38,2.6,3.0,2.4,2.625,3.2,2.3,2.65,3.15,2.25,1.6,2.05,DE
D2,11/08/02,Ahlen,Reutlingen,2,0,H,0,0,D,1.833,3.2,3.75,1.86,3.25,3.85,1.75,3.2,4.0,1.7,3.3,4.2,1.75,3.3,3.8,1.6,2.05,DE
D2,11/08/02,Braunschweig,Mannheim,4,2,H,1,1,D,2.1,3.25,2.9,2.06,3.25,3.1,1.9,3.1,3.5,2.0,3.2,3.2,1.85,3.3,3.4,1.75,1.85,DE
D2,11/08/02,Ein Frankfurt,St Pauli,4,0,H,1,0,H,2.2,3.25,2.75,2.18,3.15,2.93,2.0,3.1,3.2,2.0,3.3,3.1,1.95,3.2,3.2,1.65,1.95,DE
D2,11/08/02,Lubeck,Oberhausen,1,0,H,0,0,D,2.1,3.2,3.0,2.16,3.15,3.25,2.0,3.1,3.2,1.909,3.3,3.3,1.85,3.3,3.4,1.75,1.85,DE
D2,12/08/02,Karlsruhe,FC Koln,0,1,A,0,0,D,2.5,3.1,2.5,2.65,3.4,2.65,2.5,3.1,2.5,2.4,3.2,2.4,,,,1.65,2.05,DE
D2,16/08/02,FC Koln,Duisburg,4,3,H,2,1,H,1.615,3.25,5.0,1.6,3.4,4.6,1.6,3.4,4.6,1.667,3.3,4.5,1.55,3.5,4.8,1.62,2.07,DE
D2,16/08/02,Greuther Furth,Aachen,0,0,D,0,0,D,1.667,3.25,4.5,1.63,3.4,4.63,1.6,3.4,4.6,1.571,3.4,5.0,1.55,3.45,5.0,1.65,1.95,DE
D2,16/08/02,Mannheim,Union Berlin,1,2,A,1,1,D,2.1,3.2,3.0,2.1,3.1,3.1,2.1,3.0,3.1,2.1,3.2,3.0,2.15,3.15,2.8,1.65,1.95,DE
D2,18/08/02,Burghausen,Karlsruhe,0,0,D,0,0,D,2.25,3.2,2.75,2.05,3.15,3.15,1.9,3.1,3.5,2.25,3.1,2.8,2.4,3.1,2.5,1.75,1.85,DE
